video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
lOHVMmZ6n3o,"BORDER 2: Ghar Kab Aaoge | Sunny Deol | Anu,Mithoon, Sonu, Roop, Arijit, Vishal, Diljit, Javed,Manoj","The greatest musical collaboration in the history of Indian cinema has arrived. Presenting the most awaited song, the evergreen patriotic anthem that lives in every heart, ""Ghar Kab Aaoge"", from #BORDER2.

Gulshan Kumar, T-Series & JP Films Present
A T-Series Films & JP Films Production

""BORDER 2""

In Cinemas 23rd Jan 2026. Jai Hind 🇮🇳

♪Full Song Available on♪ 
Amazon Prime Music: https://bit.ly/3N1I2yr JioSaavn: https://bit.ly/4aH8VSa
Spotify: https://bit.ly/49hwSNd
Apple Music: https://bit.ly/4jjDX4y
Gaana: https://bit.ly/4bcGZ8G
YouTube Music: https://bit.ly/3Nce2zP

Song Credits: 
Original Song Composed by: Anu Malik 
Original Lyrics by: Javed Akhtar 
Song Recreated by: Mithoon 
Lyrics by: Manoj Muntashir Shukla 
Singers: Sonu Nigam, Roop Kumar Rathod, Arijit Singh, Vishal Mishra & Diljit Dosanjh 
Creative Head: Anugrah
Music Production: Godswill Mergulhäo
Music Assistants: Anugrah, Godswill Mergulhäo, Eli Rodrigues & Kaushal Gohil.
Guitars: Kalyan Baruah
Flute: Rakesh Chaurasia
World Strokes: Tapas Roy
Esraj: Arshad Khan
Indian Rhythm Ensemble: Raju Kulkarni, Satyajit Jamsandekar, Naeem Sayyed, Rahul Rupwate, Surinder Belbansi, Tejas Satardekar, Runal Sawant, Varad Kulkarni, Anugrah, Godswill Mergulhäo, Eli Rodrigues, & Kaushal Gohil.
Choir Section Co-ordinator: Shripad Lele
Choir Section: Shripad Lele, Umesh Joshi , Vivek Naik, Vijay Dhuri, Anil Bhilare, Janardan Dhatrak , Dattatray Mestry, Siddhant Karawde , Mangesh Shirke, Latesh Pujari, Sagar Kudalkar, Mohan Morajkar, Karan Kagale, Vaibhav Sutar, Vishal Jagtap, Pratap Kalke, Mohan Shravan, Gaurav Dandekar, Prasad Manjrekar, Vishal Tambe, Unmesh Chandavarkar, Shashank Mohite, Siddharth Joshi, Keshab Baruah, Vidit Patankar, Smit Vaidya, Chaitanya Shinde, Ekagra Upadhyay, Tanuj Manchanda, Dipanshu Tiwari, Abhishek Sharma, Nitin Karandikar & Nishad Joshi
Song Recorded by Vijay Dayal at Yashraj Studios 
Additional Recording by A Manivannan at Living Water Studios.
Song Mixed and Mastered by: Eric Pillai at Future Sound of Bombay 
Assistant Mixing Engineer: Michael Edwin Pillai 
Mithoon’s Manager: Vijay Iyer 
Mithoon’s Staff: Ganesh Raut & Sanjeev Utekar
Original Song Licensed Courtesy: Ishtar Music (Believe Music India)
Music Label: T-Series

Film Credits:
​Cast: Sunny Deol, Varun Dhawan, Diljit Dosanjh, Ahan Shetty, Mona Singh, Sonam Bajwa, Anya Singh, Medha Rana
Directed By: Anurag Singh
Produced By: Bhushan Kumar, Krishan Kumar
Produced By: JP Dutta, Nidhi Dutta
Co-Producer: Shiv Chanana
Co-Producer: Binnoy K Gandhi
President (T-Series): Neeraj Kalyan
Story: Nidhi Dutta
​Screenplay & Dialogues: Sumit Arora, Anurag Singh
DOP: Anshul Chobey
Production Design: Mayur Sharma
Supervising Producer: Siddhi Dutta
​Executive Producer: Ashwini Kumar
Editor: Manish More
Costume Designer: Sheetal Sharma
​Music: Anu Malik, Mithoon, Vishal Mishra, Sachet-Parampara, Gurmoh
​Lyrics: Javed Akhtar, Manoj Muntashir Shukla, Kumaar, Kausar Munir
​Background Music: John Stewart Eduri
​Sound Designer: Nihar Ranjan Samal
Mix & Master: Eric Pillai @ Future Sound of Bombay
​Finance Head: Rachna Bhagat
​Casting Director: Mukesh Chhabra CSA
​Action Director: Ravi Varma, Nick Powell, Parvez Shaikh, Allan Amin
​Director Of Choreography: Raju Khan, Ganesh Acharya
​Associate Director: Harshit Bhatia
​1st Assistant Director: Sarvesh Shingre
​Line Producer: Amit J. Chaudhary, Santosh Rai
​Post Producer: Ankush Dhawan
​Re-Recording Mixer: Debajit Changmai
​VFX: Redefine, Labyrinth
​VFX Supervisor: Vishal Anand, Soumen Das
​VFX Creative Head (Labyrinth): Siddhartha Jayakar
​DI: Prime Focus Ltd.
DI Colorist: Ashirwad Hadkar
​Music On: T-Series
​Project Head (T-Series): Meghha Chheda
​Music Head (T-Series): Shivam Chanana
​Music Marketing Head (T-Series): Vivin Sachdeva
​Film Marketing Lead (T-Series): Neel Mehta
​Film PR Lead (T-Series): Rahul Dubey
Film Digital Marketing Lead (T-Series): Shahrukh Khan
​Film Marketing & Promotions (T-Series): Mita Choudhary, Heett Savla
Music Team (T-Series): Raj Chanana, Sonal Chawla, Sonu Srivastava, Vivin Sachdeva
Music Marketing Team (T-Series): Sana Shaikh, Raisa Ghosh
Digital Team (T-Series): Varun Arora, Juhi Singh, Praveen Sharma
​Publicity Design: Parass Kanani (House Of Awe)
​Digital Marketing: White Rivers Media
​Visual Promotions: Just Right Studioz NX

#BORDER2 #GharKabAaoge #SandeseAateHai

[Sandese Aate Hai, Sandeshe Aate Hain, Ghar Kab Aaoge, Border 2, Sunny Deol, Varun Dhawan, Diljit Dosanjh, Ahan Shetty, Mona Singh, Sonam Bajwa, Anya Singh, Medha Rana, Anu Malik, Javed Akhtar, Mithoon, Manoj Muntashir Shukla, Sonu Nigam, Roop Kumar Rathod, Arijit Singh, Vishal Mishra, Diljit Dosanjh]

Enjoy & stay connected with us!
👉 Subscribe to T-Series:  https://www.youtube.com/tseries
👉 Like us on Facebook:  https://www.facebook.com/tseriesmusic
👉 Follow us on X:  https://x.com/tseries
👉 Follow us on Instagram:  https://www.instagram.com/tseries.official
👉 Follow us on Snapchat:  https://www.snapchat.com/@tseriesonsnap",2026-01-02T14:00:06Z,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,10,"['tseries', 'tseries songs', 'ghar kab aaoge border 2', 'sandese aate hai song', 'ghar kab aaoge border 2 song', 'border 2 song', 'ghar kab aaoge arijit singh', 'ghar kab aaoge full song', 'sandeshe aate hain song', 'border 2 sunny deol song', 'ghar kab aaoge sonu nigam', 'sandese aate hain full song', 'border 2 movie song', 'ghar kab aaoge song full', 'vishal mishra ghar kab aaoge', 'arijit singh ghar kab aaoge', 'border 2 songs', 'Sandeshe aate hai', 'Sandese aate h old song', 'Deshbhakti song', 'sandeshe aate hain']",PT3M11S,hd,false,19801993,822129,0,0,40526
fJaAYcERf3Y,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,"Presenting the Official Trailer of the upcoming Tamil film “Jana Nayagan” Starring Thalapathy Vijay, Pooja Hegde, Bobby Deol, Mamitha Baiju, Gautham Vasudev Menon, Prakash Raj, Priyamani, Narain & others.


Movie Credits:
Star cast: Thalapathy Vijay, Pooja Hegde, Bobby Deol, Mamitha Baiju, Gautham Vasudev
Menon, Prakash Raj, Priyamani, Narain & others
Produced by: Venkat K Narayana
Co Produced By: Jagadish Palanisamy, Lohith.N.K
Directed by: H Vinoth
Director Of Photography: Sathyan Sooryan Isc
Editing: Pradeep E Ragav
Production Designer: V Selvakumar
Action: Anl Arasu
Choreography: Sekhar Vj, Sudhan
Costume Designer: Pallavi Singh
Sound design: Synccinema
Sound Mix: Kannan Ganpat
Publicity Designer: Gopi Prasannaa
PRO: Riaz K Ahmed
Vfx Supervisor: Monesh H
DI: Knack Studios
Colourist: Prasath Somasekar
Stills: D Maneksha
Costumer: Muthul Hafeez
Makeup: P Nagarajan
Production Executives: P.Viswanathan, M Manjunathan, M Balamurugan, P Marimuthu,
Sureshdev , K Sivakumar
Chief Production Executive: R Udayakumar
Production Controller: Veera Sankar
Executive Producer: Ramkumar Balasubramanian
Digital Promotions: The Tabs
Music Label: T-Series

Music Credits:
Acoustic Guitar, Electric Guitar - Keba Jeremiah
Bass Guitar - Sajith Satya
Solo Violin - Ananthakrrishnan
Woodwinds - Nikhil Ram
Trumpets & Trombone - Rakesh MS

Backing Vocals - Yogi Sekar, Velu, Sridhar Sena, Shibi Srinivasan, Shenbagaraj, Narayanan Ravishankar. 
Piano, Keyboard, Synth, Rhythm & Orchestral Programmed by Anirudh Ravichander
Additional Music Programmed by Dan Kristen, IC, Advait Mahesh, Arish, Nivin Rapheal, Narendar S, Ashwin Krishna, Jishnu Vijayan
Cinematic Hybrid Percussions & Additional Rhythm Programmed by Shashank Vijay
Ethnic Percussions by Kalyan 

Music Advisor Ananthakrrishnan
Creative Consultant Sajith Satya
Session Assistant Shivakiran S

Recorded at Albuquerque Records, Chennai, Engineered by Shivakiran S, Plural, Jishnu VIjayan, Neo Sound, Mumbai. Engineered by Pranjal, Dilip Nair
Recorded at Vibe_N Studios Engineered by Lokesh Vijayakumar
Music Co Ordinator - Velavan B


____________________________________________________________________________________

Follow KVN Productions 
Instagram : https://www.instagram.com/kvn.productions/
X : https://x.com/KvnProductions

In Association with Divo:
Instagram :  https://www.instagram.com/divomusicofficial/
X :  https://x.com/divomovies

#JanaNayagan #KVNPRODUCTIONS #ThalapathyVijay #HVinoth #AnirudhRavichander #PoojaHegde #VenkatKNarayana #BobbyDeol #MamithaBaiju #GauthamVasudevMenon #PrakashRaj #Priyamani #Narain",2026-01-03T13:15:05Z,UC3DOgauBYLQQXdH1siGjfpw,KVN PRODUCTIONS,1,"['KVN Production', 'KVN', 'Jana Nayagan', 'VIjay', 'thalapathy vijay', 'vijay birthday video', 'Jananayagan', 'Vijay movie', 'Vijay new movie', 'Jana Nayagan teaser', 'Jana Nayagan trailer', 'Jana Nayagan Update', 'Jana Nayagan Trailer', 'I am Coming', 'I am waiting', 'Jana Nayagan Official Trailer', 'Thalapathy Kacheri', 'Thalapathy Movie Trailer', 'Jana Nayagan Movie Trailer', 'Trending Trailer', 'Vijay last movie', 'Vijay Last movie trailer', 'One last dance', 'Pooja Hedge', 'Anirudh', 'Bobby Deol', 'Mamitha Baiju', 'TVK']",PT2M52S,hd,true,23676847,1169795,0,0,82070
3A7iNYwyG5s,I Found FATHER of ALL MOBS in Minecraft!,"in this video carry and doorbin are finding father of mobs..

#minecraft 
#carrydepie",2026-01-03T08:39:54Z,UClqifC6Nd7v-IfTqce4k62A,Carry Depie,20,"['carry depie', 'minecraft']",PT16M26S,hd,false,1067711,13940,0,0,771
KoGOONSG1_g,Ghar Kab Aaoge (From “BORDER 2”),"Provided to YouTube by Super Cassettes Industries Private Limited

Ghar Kab Aaoge (From “BORDER 2”) · Anu Malik · Mithoon · Sonu Nigam · Arijit Singh · Roop Kumar Rathod · Vishal Mishra · Diljit Dosanjh · Javed Akhtar · Manoj Muntashir · Anu Malik · Mithoon · Javed Akhtar · Manoj Muntashir · Anurag Singh · Sunny Deol · Varun Dhawan · Diljit Dosanjh · Ahan Shetty

Border 2

℗ Super Cassettes Industries Private Limited

Released on: 2026-01-02

Auto-generated by YouTube.",2026-01-02T05:42:00Z,UCPgPdd27BUuBdXf3-86qhEw,Anu Malik - Topic,10,"['Anu Malik', 'Mithoon', 'Sonu Nigam', 'Arijit Singh', 'Roop Kumar Rathod', 'Vishal Mishra', 'Diljit Dosanjh', 'Javed Akhtar', 'Manoj Muntashir', 'Anurag Singh', 'Sunny Deol', 'Varun Dhawan', 'Ahan Shetty', 'Border 2', 'Ghar Kab Aaoge (From “BORDER 2”)']",PT10M35S,hd,false,2460783,120190,0,0,308
UtVijamJJcg,Mana ShankaraVaraPrasad Garu Official Trailer | Chiranjeevi | Venkatesh | Nayanthara | Anil Ravipudi,"Mana ShankaraVaraPrasad Garu Official Trailer on @Shinescreenscinema 

Mana ShankaraVaraPrasad Garu is an upcoming Latest 2026 Telugu Movie Starring Megastar Chiranjeevi, Venkatesh Daggubati and Nayanthara. Directed by Blockbuster Hit Machine Anil Ravipudi. Produced by Sahu Garapati & Sushmita Konidela under Shine Screens and Gold Box Entertainments banners with Music composed by Bheems Ceciroleo. 

IN CINEMAS WORLDWIDE on JANUARY 12, 2026.

#ManaShankaraVaraPrasadGaru #ManaShankaraVaraPrasadGaruTrailer #MegastarChiranjeevi #VenkateshDaggubati #Nayanthara #AnilRavipudi #BheemsCeciroleo #SahuGarapati #SushmitaKonidela #Chiranjeevi #ShineScreens #GoldBoxEntertainments #MegaStar157 #MSGTrailer #MSG 

Movie Name: Mana ShankaraVaraPrasad Garu
Tag line: Pandagaki Vasthunnaru

Cast: Megastar Chiranjeevi, Venkatesh Daggubati, Nayanthara, Catherine Tresa

Technical Crew:
Writer & Director - Anil Ravipudi 
Producers -  Sahu Garapati and Sushmita Konidela
Presents - Smt.Archana
Banners - Shine Screens and Gold Box Entertainments
Music Director - Bheems Ceciroleo 
Cinematographer - Sameer Reddy
Production Designer - A S Prakash
Editor - Tammiraju 
Executive Producer - S Krishna 
Co-Writers - S Krishna, G AdiNarayana
VFX - Lavan & Kushan (DTM), Narendra Logisa
Line Producer - Naveen Garapati
PRO - Vamsi Shekar
Marketing: Haashtag Media
Audio on T SERIES

Click here to watch:

Mega157 Pooja Ceremony Highlights - https://youtu.be/_QSlvoEsAuM

Laila Pooja Ceremony Event Highlights - https://youtu.be/INFfkUwzYe8

BSS11 Pooja Ceremony Event - https://youtu.be/ZzohR14dzgc

LAILA Title Announcement Video - https://youtu.be/9STsOoGDUfA

Nandamuri Balakrishna Speech at Bhagavanth Kesari Box Office Ka Sher Celebrations - https://youtu.be/BcwunPZyvts

The World of Bhagavanth Kesari - https://youtu.be/eJigsnjf6U0

Bhagavanth Kesari Fun on Sets: https://youtu.be/JrpTwOnmrK4

For more updates from Shine Screens:

Subscribe: https://bit.ly/2KthAt8​​
Like: https://www.facebook.com/shinescreens​​
Follow: https://twitter.com/shine_screens​
Follow: https://www.instagram.com/shinescreenscinema",2026-01-04T10:34:11Z,UCTvj3-woimxixynrEzG1kUA,SHINE screens,24,"['Mana ShankaraVaraPrasad Garu Official Trailer', 'Mana Shankara VaraPrasad Garu', 'Chiranjeevi', 'Anil Ravipudi', 'Mana ShankaraVaraprasad Garu', 'Nayanthara', 'MSG', 'Shine Screens', 'Sahu Garapati', 'Sushmita Konidela', 'Gold Box Entertainments', 'Chiranjeevi Anil Ravipudi Movie', 'Bheems Ceciroleo', 'Latest Tollywood Teasers 2026', 'Upcoming Tollywood Movies 2026', 'ChiruAnil', 'Venkatesh Daggubati', 'Latest Telugu Songs', 'Latest Telugu Trailers 2026', 'MSG Trailer', 'Mana Shankara Vara Prasad Garu Trailer']",PT2M41S,hd,false,279172,102070,0,0,3705
GkNh54g7_d0,FIRST STREAM OF 2026 🥳 | JONATHAN IS BACK!! | BGMI!!,"Hey Guys, I’m Jonathan Amaral, better known as Jonathan Gaming, a professional BGMI esports athlete and streamer.

Since the start of my journey, my dedication to the game has been defined by precision, consistency, and an unstoppable grind. As an assaulter, I’ve built a reputation for clutch performances and high-impact gameplay, earning respect in the BGMI community. 

Through years of dedication, I’ve honed my skills, adapting to every challenge and evolving with the game. Whether in high-stakes tournaments or streaming for the gaming community, my focus remains the same - pushing the limits and delivering top-tier gameplay.

Redbull Athlete 🧢
BGIS 2025 Runner up 🥈
BGIS 2025 Finals MVP 👑
BGIS 2025 Overall Top Fragger 🎯
BMPS 2024 2nd Runner up 🥉
BGMS 2022 MVP 🏆
BGMS 2022 Runner up 🥈
BGIS 2021 Overall Top Fragger 🎯
PMWL #2 Overall Fragger 💣
PMCO Globals #4 Fragger 💣
PMPL 2020 Finals #2 Fragger 🎯
PMPL 2020 Finals Runner up 🥈
PMIS 2020 Top Fragger 🎯
PMIS 2020 India Champions 🏆
PMCO 2019 Fall Split SA Champion 🏆


 Follow Me & Stay Connected! 
📷 Instagram - @ig_jonathangaming
💬 Discord - https://discord.gg/jonathan
📺 YouTube - https://www.youtube.com/@JONATHANGAMINGYT/
🐦 Twitter - @ig_jonathan16

🎮 Join the #JonathanArmy & Be Part of the Esports Revolution! 🎮
💖 Like, Share & Subscribe for More Epic Content! 💖

#JONATHANISLIVE #JONATHANBGMI #JONATHANGAMING #ESPORTS #BGMIINDIA #GAMING #LIVESTREAM",2026-01-02T23:10:42Z,UCNoiWmvkDUL0q-6ECxNFH0Q,JONATHAN GAMING,20,"['jonathan', 'jonathan gaming', 'esports', 'BGMI', 'BattleGroundsMobileIndia', 'classics', 'randoms', 'customs', 'jonathan vs zgod', 'contolcode', 'jonathan gaming sensitivity', 'TAPATAP', 'HACKERORWHAT', 'jonathanhandcam', 'jonathantdm', 'TDMGAMEPLAY', 'best crate opening', 'huge crate opening', 'biggest crate opening ever', 'crate opening']",PT7H16M29S,hd,false,1869065,160818,0,0,684
nQrrVyVIYvw,"Vaammo Vaayyo | Bhartha Mahasayulaku Wignyapthi | Ravi Teja, Ashika R, Dimple H | Bheems Ceciroleo","For more latest songs & videos, subscribe 👉 https://bit.ly/Saregama_Telugu

Here's the lyrical of ""Vaammo Vaayyo"" from 'Bhartha Mahasayulaku Wignyapthi' starring Ravi Teja, Ashika Ranganath, Dimple Hayathi and others. Directed by Kishore Tirumala. Music Composed by Bheems Ceciroleo. 

Song Credits:
Song Name: Vammo Vayyo
Lyrics: Dev Pawer
Singers: Swathi Reddy UK
Music Director: Bheems Ceciroleo

Musicians Credits:
Composed & Arranged By: Bheems Ceciroleo
Keyboards & Rhythms: Kalyan Keys
Female Backing Vocals: Sindhuja Srinivasan
Live Rhythms: Chiranjeevi, Anil Robin
Guitars & Frets: SM Subhani
Nadhaswaram: Mallikarjun
Recording Studio: A Bheems Musicals, Hyderabad
Recording Engineer: Mastan Vali
Vocals Melodyne & Song Pre-Mix: Mastan Vali
Mixed & Mastered By: Kishore Kumar Sathala
Music Production Manager: Malya Kandukuri
Studio Assistants: Sankaram, Rajesh

Movie Credits:
Writer–Director: Kishore Tirumala
Producer: Sudhakar Cherukuri
Music Director: Bheems Ceciroleo
DOP: Prasad Murella
Editor: A. Sreekar Prasad
Production Designer: A. S. Prakash
CEO: Vijay Kumar Chaganti
Makeup Chief: I. Srinivas Raju
Co-Director: Raam Ravipati
Executive Producer: Sekhar Yalamanchili
Banner: SLV Cinemas
Music: Saregama
PRO: Vamshi Shekar
Choreographer: Sekhar V. J
Marketing: First Show
Publicity Designs: Ananth Kancherla (Padma Sri Ads)
Lyrical Composition: Walls & Trends

Lyrics:
Pallavi :
Illu Paye, Ollu Paye – Kallu Paye, Pallu Paye
Puvvu Paye, Navvu Paye – Nuvvu Paye, Nenu Paye
Sellu Paye, Simmu Paye – Dappu Paye, Cheppu Paye
Dammu Paye, Dammu Paye – Sigge Gallani Paaye
Vammo Vayyo Olenkalo, Nenem Cheddu Sollenkalo
Are Vammo Vayyo Olenkalo, Nenem Cheddu Sollenkalo
Illu Paye, Ollu Paye Oo Rama Rama – Ga Lachugani Echulu
Paye Oo Rama Rama
Sellu Paye, Simmu Paye Oo Rama Rama – Ga Alla Soorigani
Sollupaye Oo Rama Rama
Puvvu Paye, Navvu Paye Oo Rama Rama – Gee Pottidani
Lavvupaye Oo Rama Rama
Muddhu Muchatanta Paye, Moothipallu Ralipaaye
Vammo Vayyo Olenkalo, Nenem Cheddu Sollenkalo
Are Vammo Vayyo Olenkalo, Nenem Cheddhu Sollenkalo

Charanam 1 :
Gettu Paye, Gattu Paye Oo Rama Rama – Nethimeeda Juttu
Oo Rama Rama
Senu Paye, Silaka Paye Oo Rama Rama – Sethilona Palaka
Paye Oo Rama Rama
Mannu Paaye, Malakapaaye Oo Rama Rama – Sunakulochi
Egiripaaye Oo Rama Rama
Giraka Paaye, Gilakapaaye – Nulakamancham Irigipaaye
Vammo Vayyo Olenkalo, Nenem Cheddu Sollenkalo
Are Vammo Vayyo Olenkalo, Nenem Cheddu Sollenkalo

Charanam 2 :
Langa Paaye, Oonipaaye Oo Rama Rama – Kanchipattu
Seerapaaye Oo Rama Rama
Adugupaye, Godugu Paye Oo Rama Rama – Unnadhanta
Oodsukupaaye Oo Rama Rama
Odlupaaye, Edlupaaye – Kongukunna Dhudlu Paaye
Oo Rama Rama
Bandlu Paaye Gundlu Paaye – Thupakilo Gundlu Paaye
Vammo Vayyo Olenkalo, Nenem Cheddu Sollenkalo
Are Vammo Vayyo Olenkalo, Nenem Cheddu Sollenkalo
Vammo.. Addededdedde – Vayyo
Vammo Vayyo Olenkalo, Nenem Cheddu Sollenkalo


Label: Saregama India Limited, A RPSG Group Company

To buy Carvaan, visit https://www.saregama.com/carvaan/telugu
To buy virus free original tracks, visit  https://www.saregama.com/musicstore
Follow us on: YouTube: @saregamasouth
Facebook: http://www.facebook.com/Saregamatelugu
X: https://twitter.com/saregamasouth

#BharthaMahasayulakuWignyapthi #RaviTeja #BheemsCeciroleo #BMW #SaregamaTelugu",2026-01-02T10:39:46Z,UC68nKdrLbLL0Vj7ilVkLmmg,Saregama Telugu,10,"['Vaammo Vaayyo song lyric', 'Vaammo Vaayyo lyrical', 'Bhartha Mahasayulaku Wignyapthi song lyrical video', 'Bhartha Mahasayulaku Wignyapthi songs', 'Ravi Teja Vaammo Vaayyo', 'Ravi Teja new song lyrical', 'Ravi Teja Telugu movie songs', 'Bheems Ceciroleo Vaammo Vaayyo', 'Bheems Ceciroleo Telugu songs', 'Vaammo Vaayyo Telugu song', 'Vaammo Vaayyo video lyricla', 'Bhartha Mahasayulaku Wignyapthi Ravi Teja', 'Telugu song lyrical', 'Telugu movie song lyrical', 'Latest Telugu song lyrical', 'Telugu music']",PT3M2S,hd,false,4208917,37641,0,0,1053
tzNTBH3RS0g,Jana Nayagan | Trailer Reaction | Thalapathy Vijay | H Vinoth | Malayalam,https://youtu.be/fJaAYcERf3Y?si=Wi0IgyGul6-Ij8b9,2026-01-03T14:36:23Z,UCNhaliLwhGH9wX3pe9bFTbA,LifeofShazzam,24,[],PT6M56S,hd,false,385436,28587,0,0,1454
iQrUZaa3-Sg,I Cheated With Scary Potion In Minecraft Build Battle ….,"in this video we are doing scary build battle..

#minecraft 
#karrykraft",2026-01-03T12:09:52Z,UCW3Ms3ZxVaZUniP-HifWCDg,Karry Kraft,20,"['carry depie', 'minecraft']",PT11M18S,hd,false,730917,9492,0,0,296
raOAYDLgOAQ,#Video | #Khesari Lal Yadav | बुलबुल | #Shilpi Raj | Ft. #Neelam Giri | Bulbul | Bhojpuri Song 2026,"►Title :- बुलबुल 
►Song :- Bulbul
►Singer :- Khesari Lal Yadav & Shilpi Raj
►Lyrics :- Chhotu Yadav
►Music :- Arya Sharma
►Mix -Master :- Jitu Sharma
►Compose :- Raushan Singh
►Di :-  Rohit Singh
►Feat :- Neelam Giri
►Choreographer :- Mk Gupta



              "" Movie Credit ""

►Movie :- Aganipariksha/अग्निपरीक्षा 
►Producer :- Surinder Yadav
►Director :- Lal Babu Pandit
►Wrriter :- Rakesh Tripathi
►DOP :- R R Prince
►Film Editor :- Jitendra Jittu
►Line Producer :- Sumit Yadav, Amrendra Singh Rajpoot
►Light :- Pintu
►Zymy Jeep :- Ajay Yadav
►EP :- Sandeep Sindhe
►Production :- Amarjeet Das
►Marketing :- Anurag Sharma
►Marketing Head : Vijay Yadav
►Creative Head : Mahendra Yadav
► Marketing; Vijay Yadav
►Pro :- Ranjan Sinha
►Label / Company :- Sur Music 
(Copyright) Sur Music World Private Limited
►Follow us on insta : https://www.instagram.com/surmusic11/
►Follow us on Facebook :- https://www.facebook.com/profile.php?id=100088444995817
_____________________________________________________
►Digital Head :- Vicky Yadav
►Digital  Partner : MarsOrbit Entertainment Pvt Ltd
_____________________________________________________
► Thanks For Watching Our  Channel
► Have A Nice Day ...
► Subscribe For More Updates ...

#khesarilalyadav #shilpiraj #neelamgiri #bhojpurisongs #2026",2026-01-02T01:31:01Z,UCW1BEAegBZdCOq4M7JtDSQw,Sur Music ,10,"['khesari lal yadav', 'shilpi raj', 'neelam giri', 'khesari lal yadav new song', 'khesari lal yadav bhojpuri song', 'khesari lal yadav shilpi raj', 'बुलबुल', 'neelam giri new video song', 'neelam giri bhojpuri video song', 'khesari lal yadav hits', 'khesari lal yadav hits movieara', 'khesari lal yadav garam kara', 'rangbaaz khesari lal yadav', 'aag lagaibu ka khesari lal yadav', 'aag lagaibu ka', 'bulbul', 'khesari lal yadav neelam giri', 'bhojpuri song 2026']",PT3M15S,hd,false,2445851,155815,0,0,27237
